Month,order_volume,total_revenue
2011-01,216,98902
2011-02,183,91152
2011-03,277,145726
2011-04,267,116927
2011-05,295,146762
2011-06,468,215214
2011-07,250,115518
2011-08,443,207570
2011-09,527,290230
2011-10,401,199070
2011-11,563,298499
2011-12,620,333941
2012-01,260,135775
2012-02,230,100521
2012-03,337,163092
2012-04,322,161060
2012-05,413,208370
2012-06,571,256181
2012-07,324,145247
2012-08,522,303158
2012-09,641,289390
2012-10,499,252942
2012-11,716,323512
2012-12,628,338245
2013-01,345,199197
2013-02,306,167247
2013-03,411,198591
2013-04,394,177835
2013-05,522,260525
2013-06,724,396513
2013-07,447,229940
2013-08,692,326491
2013-09,836,376626
2013-10,580,293423
2013-11,789,373996
2013-12,825,405476
2014-01,450,241267
2014-02,385,184848
2014-03,530,263110
2014-04,523,242781
2014-05,667,288404
2014-06,899,401843
2014-07,540,258718
2014-08,843,456633
2014-09,1017,481186
2014-10,810,422785
2014-11,1077,555312
2014-12,1093,503154
